Native Region Code ,Native Region Name,ISO Code,Country,,
CSA,Central and South America,ABW,Aruba ,,
ODA,Other Developing Asia,AFG,Afghanistan ,,
AFR,Africa,AGO,Angola ,,
CSA,Central and South America,AIA,Anguilla ,,
WEU,Western Europe,ALA,Åland Islands ,,
EEU,Eastern Europe,ALB,Albania ,,
WEU,Western Europe,AND,Andorra ,,
CSA,Central and South America,ANT,Netherlands Antilles ,,
MEA,Middle-East,ARE,United Arab Emirates ,,
CSA,Central and South America,ARG,Argentina ,,
FSU,Former Soviet Union,ARM,Armenia ,,
ODA,Other Developing Asia,ASM,American Samoa ,,
,,ATA,Antarctica ,,
,,ATF,French Southern Territories ,,
CSA,Central and South America,ATG,Antigua and Barbuda ,,
AUS,Australia,AUS,Australia ,,
WEU,Western Europe,AUT,Austria ,,
FSU,Former Soviet Union,AZE,Azerbaijan ,,
AFR,Africa,BDI,Burundi ,,
WEU,Western Europe,BEL,Belgium ,,
AFR,Africa,BEN,Benin ,,
AFR,Africa,BFA,Burkina Faso ,,
ODA,Other Developing Asia,BGD,Bangladesh ,,
EEU,Eastern Europe,BGR,Bulgaria ,,
MEA,Middle-East,BHR,Bahrain ,,
CSA,Central and South America,BHS,Bahamas ,,
EEU,Eastern Europe,BIH,Bosnia and Herzegovina ,,
CSA,Central and South America,BLM,Saint Barthélemy ,,
FSU,Former Soviet Union,BLR,Belarus ,,
CSA,Central and South America,BLZ,Belize ,,
CSA,Central and South America,BMU,Bermuda ,,
CSA,Central and South America,BOL,"Bolivia, Plurinational State of ",,
CSA,Central and South America,BRA,Brazil ,,
CSA,Central and South America,BRB,Barbados ,,
ODA,Other Developing Asia,BRN,Brunei Darussalam ,,
ODA,Other Developing Asia,BTN,Bhutan ,,
,,BVT,Bouvet Island ,,
AFR,Africa,BWA,Botswana ,,
AFR,Africa,CAF,Central African Republic ,,
CAN,Canada,CAN,Canada ,,
ODA,Other Developing Asia,CCK,Cocos (Keeling) Islands ,,
WEU,Western Europe,CHE,Switzerland ,,
CSA,Central and South America,CHL,Chile ,,
CHI,China,CHN,China ,,
AFR,Africa,CIV,Côte d'Ivoire ,,
AFR,Africa,CMR,Cameroon ,,
AFR,Africa,COD,"Congo, the Democratic Republic of the ",,
AFR,Africa,COG,Congo ,,
ODA,Other Developing Asia,COK,Cook Islands ,,
CSA,Central and South America,COL,Colombia ,,
AFR,Africa,COM,Comoros ,,
AFR,Africa,CPV,Cape Verde ,,
CSA,Central and South America,CRI,Costa Rica ,,
CSA,Central and South America,CUB,Cuba ,,
ODA,Other Developing Asia,CXR,Christmas Island ,,
CSA,Central and South America,CYM,Cayman Islands ,,
MEA,Middle-East,CYP,Cyprus ,,
EEU,Eastern Europe,CZE,Czech Republic ,,
WEU,Western Europe,DEU,Germany ,,
AFR,Africa,DJI,Djibouti ,,
CSA,Central and South America,DMA,Dominica ,,
WEU,Western Europe,DNK,Denmark ,,
CSA,Central and South America,DOM,Dominican Republic ,,
AFR,Africa,DZA,Algeria ,,
CSA,Central and South America,ECU,Ecuador ,,
AFR,Africa,EGY,Egypt ,,
AFR,Africa,ERI,Eritrea ,,
AFR,Africa,ESH,Western Sahara ,,
WEU,Western Europe,ESP,Spain ,,
FSU,Former Soviet Union,EST,Estonia ,,
AFR,Africa,ETH,Ethiopia ,,
WEU,Western Europe,FIN,Finland ,,
ODA,Other Developing Asia,FJI,Fiji ,,
CSA,Central and South America,FLK,Falkland Islands (Malvinas) ,,
WEU,Western Europe,FRA,France ,,
WEU,Western Europe,FRO,Faroe Islands ,,
ODA,Other Developing Asia,FSM,"Micronesia, Federated States of ",,
AFR,Africa,GAB,Gabon ,,
UK,United Kingdom,GBR,United Kingdom ,,
FSU,Former Soviet Union,GEO,Georgia ,,
WEU,Western Europe,GGY,Guernsey ,,
AFR,Africa,GHA,Ghana ,,
WEU,Western Europe,GIB,Gibraltar ,,
AFR,Africa,GIN,Guinea ,,
CSA,Central and South America,GLP,Guadeloupe ,,
AFR,Africa,GMB,Gambia ,,
AFR,Africa,GNB,Guinea-Bissau ,,
AFR,Africa,GNQ,Equatorial Guinea ,,
WEU,Western Europe,GRC,Greece ,,
CSA,Central and South America,GRD,Grenada ,,
WEU,Western Europe,GRL,Greenland ,,
CSA,Central and South America,GTM,Guatemala ,,
CSA,Central and South America,GUF,French Guiana ,,
ODA,Other Developing Asia,GUM,Guam ,,
CSA,Central and South America,GUY,Guyana ,,
CHI,China,HKG,Hong Kong ,,
ODA,Other Developing Asia,HMD,Heard Island and McDonald Islands ,,
CSA,Central and South America,HND,Honduras ,,
EEU,Eastern Europe,HRV,Croatia ,,
CSA,Central and South America,HTI,Haiti ,,
EEU,Eastern Europe,HUN,Hungary ,,
ODA,Other Developing Asia,IDN,Indonesia ,,
UK,United Kingdom,IMN,Isle of Man ,,
IND,India,IND,India ,,
ODA,Other Developing Asia,IOT,British Indian Ocean Territory ,,
WEU,Western Europe,IRL,Ireland ,,
MEA,Middle-East,IRN,"Iran, Islamic Republic of ",,
MEA,Middle-East,IRQ,Iraq ,,
WEU,Western Europe,ISL,Iceland ,,
MEA,Middle-East,ISR,Israel ,,
WEU,Western Europe,ITA,Italy ,,
CSA,Central and South America,JAM,Jamaica ,,
WEU,Western Europe,JEY,Jersey ,,
MEA,Middle-East,JOR,Jordan ,,
JPN,Japan,JPN,Japan ,,
FSU,Former Soviet Union,KAZ,Kazakhstan ,,
AFR,Africa,KEN,Kenya ,,
FSU,Former Soviet Union,KGZ,Kyrgyzstan ,,
ODA,Other Developing Asia,KHM,Cambodia ,,
ODA,Other Developing Asia,KIR,Kiribati ,,
CSA,Central and South America,KNA,Saint Kitts and Nevis ,,
SKO,South Korea,KOR,"Korea, Republic of ",,
MEA,Middle-East,KWT,Kuwait ,,
ODA,Other Developing Asia,LAO,Lao People's Democratic Republic ,,
MEA,Middle-East,LBN,Lebanon ,,
AFR,Africa,LBR,Liberia ,,
AFR,Africa,LBY,Libyan Arab Jamahiriya ,,
CSA,Central and South America,LCA,Saint Lucia ,,
WEU,Western Europe,LIE,Liechtenstein ,,
ODA,Other Developing Asia,LKA,Sri Lanka ,,
AFR,Africa,LSO,Lesotho ,,
FSU,Former Soviet Union,LTU,Lithuania ,,
WEU,Western Europe,LUX,Luxembourg ,,
FSU,Former Soviet Union,LVA,Latvia ,,
CHI,China,MAC,Macao ,,
CSA,Central and South America,MAF,Saint Martin (French part) ,,
AFR,Africa,MAR,Morocco ,,
WEU,Western Europe,MCO,Monaco ,,
FSU,Former Soviet Union,MDA,"Moldova, Republic of ",,
AFR,Africa,MDG,Madagascar ,,
ODA,Other Developing Asia,MDV,Maldives ,,
MEX,Mexico,MEX,Mexico ,,
ODA,Other Developing Asia,MHL,Marshall Islands ,,
EEU,Eastern Europe,MKD,"Macedonia, the former Yugoslav Republic of ",,
AFR,Africa,MLI,Mali ,,
WEU,Western Europe,MLT,Malta ,,
ODA,Other Developing Asia,MMR,Myanmar ,,
EEU,Eastern Europe,MNE,Montenegro ,,
ODA,Other Developing Asia,MNG,Mongolia ,,
ODA,Other Developing Asia,MNP,Northern Mariana Islands ,,
AFR,Africa,MOZ,Mozambique ,,
AFR,Africa,MRT,Mauritania ,,
CSA,Central and South America,MSR,Montserrat ,,
CSA,Central and South America,MTQ,Martinique ,,
AFR,Africa,MUS,Mauritius ,,
AFR,Africa,MWI,Malawi ,,
ODA,Other Developing Asia,MYS,Malaysia ,,
AFR,Africa,MYT,Mayotte ,,
AFR,Africa,NAM,Namibia ,,
ODA,Other Developing Asia,NCL,New Caledonia ,,
AFR,Africa,NER,Niger ,,
ODA,Other Developing Asia,NFK,Norfolk Island ,,
AFR,Africa,NGA,Nigeria ,,
CSA,Central and South America,NIC,Nicaragua ,,
ODA,Other Developing Asia,NIU,Niue ,,
WEU,Western Europe,NLD,Netherlands ,,
WEU,Western Europe,NOR,Norway ,,
ODA,Other Developing Asia,NPL,Nepal ,,
ODA,Other Developing Asia,NRU,Nauru ,,
AUS,Australia,NZL,New Zealand ,,
MEA,Middle-East,OMN,Oman ,,
ODA,Other Developing Asia,PAK,Pakistan ,,
CSA,Central and South America,PAN,Panama ,,
,,PCN,Pitcairn ,,
CSA,Central and South America,PER,Peru ,,
ODA,Other Developing Asia,PHL,Philippines ,,
ODA,Other Developing Asia,PLW,Palau ,,
ODA,Other Developing Asia,PNG,Papua New Guinea ,,
EEU,Eastern Europe,POL,Poland ,,
CSA,Central and South America,PRI,Puerto Rico ,,
ODA,Other Developing Asia,PRK,"Korea, Democratic People's Republic of ",,
WEU,Western Europe,PRT,Portugal ,,
CSA,Central and South America,PRY,Paraguay ,,
MEA,Middle-East,PSE,"Palestinian Territory, Occupied ",,
ODA,Other Developing Asia,PYF,French Polynesia ,,
MEA,Middle-East,QAT,Qatar ,,
AFR,Africa,REU,Réunion ,,
EEU,Eastern Europe,ROU,Romania ,,
FSU,Former Soviet Union,RUS,Russian Federation ,,
AFR,Africa,RWA,Rwanda ,,
MEA,Middle-East,SAU,Saudi Arabia ,,
AFR,Africa,SDN,Sudan ,,
AFR,Africa,SEN,Senegal ,,
ODA,Other Developing Asia,SGP,Singapore ,,
CSA,Central and South America,SGS,South Georgia and the South Sandwich Islands ,,
AFR,Africa,SHN,"Saint Helena, Ascension and Tristan da Cunha ",,
WEU,Western Europe,SJM,Svalbard and Jan Mayen ,,
ODA,Other Developing Asia,SLB,Solomon Islands ,,
AFR,Africa,SLE,Sierra Leone ,,
CSA,Central and South America,SLV,El Salvador ,,
WEU,Western Europe,SMR,San Marino ,,
AFR,Africa,SOM,Somalia ,,
,,SPM,Saint Pierre and Miquelon ,,
EEU,Eastern Europe,SRB,Serbia ,,
AFR,Africa,SSD,South Sudan,,
AFR,Africa,STP,Sao Tome and Principe ,,
CSA,Central and South America,SUR,Suriname ,,
EEU,Eastern Europe,SVK,Slovakia ,,
EEU,Eastern Europe,SVN,Slovenia ,,
WEU,Western Europe,SWE,Sweden ,,
AFR,Africa,SWZ,Swaziland ,,
AFR,Africa,SYC,Seychelles ,,
MEA,Middle-East,SYR,Syrian Arab Republic ,,
CSA,Central and South America,TCA,Turks and Caicos Islands ,,
AFR,Africa,TCD,Chad ,,
AFR,Africa,TGO,Togo ,,
ODA,Other Developing Asia,THA,Thailand ,,
FSU,Former Soviet Union,TJK,Tajikistan ,,
ODA,Other Developing Asia,TKL,Tokelau ,,
FSU,Former Soviet Union,TKM,Turkmenistan ,,
ODA,Other Developing Asia,TLS,Timor-Leste ,,
ODA,Other Developing Asia,TON,Tonga ,,
CSA,Central and South America,TTO,Trinidad and Tobago ,,
AFR,Africa,TUN,Tunisia ,,
MEA,Middle-East,TUR,Turkey ,,
ODA,Other Developing Asia,TUV,Tuvalu ,,
ODA,Other Developing Asia,TWN,"Taiwan, Province of China ",,
AFR,Africa,TZA,"Tanzania, United Republic of ",,
AFR,Africa,UGA,Uganda ,,
FSU,Former Soviet Union,UKR,Ukraine ,,
ODA,Other Developing Asia,UMI,United States Minor Outlying Islands ,,
CSA,Central and South America,URY,Uruguay ,,
USA,United States of America,USA,United States ,,
FSU,Former Soviet Union,UZB,Uzbekistan ,,
WEU,Western Europe,VAT,Holy See (Vatican City State) ,,
CSA,Central and South America,VCT,Saint Vincent and the Grenadines ,,
CSA,Central and South America,VEN,"Venezuela, Bolivarian Republic of ",,
CSA,Central and South America,VGB,"Virgin Islands, British ",,
USA,United States of America,VIR,"Virgin Islands, U.S. ",,
ODA,Other Developing Asia,VNM,Viet Nam ,,
ODA,Other Developing Asia,VUT,Vanuatu ,,
ODA,Other Developing Asia,WLF,Wallis and Futuna ,,
ODA,Other Developing Asia,WSM,Samoa ,,
MEA,Middle-East,YEM,Yemen ,,
AFR,Africa,ZAF,South Africa ,,
AFR,Africa,ZMB,Zambia ,,
AFR,Africa,ZWE,Zimbabwe ,,